Y,M,D,H,DTW_ft,DTW_m
2013,10,16,13,151.14,46.067472
2013,10,16,14,151.13,46.064424
2013,10,16,15,151.13,46.064424
2013,10,16,16,151.13,46.064424
2013,10,16,17,151.12,46.061376
2013,10,16,18,151.12,46.061376
2013,10,16,19,151.12,46.061376
2013,10,16,20,151.12,46.061376
2013,10,16,21,151.11,46.058328
2013,10,16,22,151.11,46.058328
2013,10,16,23,151.11,46.058328
2013,10,17,0,151.11,46.058328
2013,10,17,1,151.11,46.058328
2013,10,17,2,151.11,46.058328
2013,10,17,3,151.11,46.058328
2013,10,17,4,151.11,46.058328
2013,10,17,5,151.1,46.05528
2013,10,17,6,151.1,46.05528
2013,10,17,7,151.1,46.05528
2013,10,17,8,151.09,46.052232
2013,10,17,9,151.09,46.052232
2013,10,17,10,151.08,46.049184
2013,10,17,11,151.07,46.046136
2013,10,17,12,151.06,46.043088
2013,10,17,13,151.06,46.043088
2013,10,17,14,151.06,46.043088
2013,10,17,15,151.05,46.04004
2013,10,17,16,151.05,46.04004
2013,10,17,17,151.05,46.04004
2013,10,17,18,151.04,46.036992
2013,10,17,19,151.04,46.036992
2013,10,17,20,151.04,46.036992
2013,10,17,21,151.03,46.033944
2013,10,17,22,151.03,46.033944
2013,10,17,23,151.02,46.030896
2013,10,18,0,151.02,46.030896
2013,10,18,1,151.02,46.030896
2013,10,18,2,151.01,46.027848
2013,10,18,3,151,46.0248
2013,10,18,4,150.99,46.021752
2013,10,18,5,150.98,46.018704
2013,10,18,6,150.96,46.012608
2013,10,18,7,150.94,46.006512
2013,10,18,8,150.93,46.003464
2013,10,18,9,150.92,46.000416
2013,10,18,10,150.91,45.997368
2013,10,18,11,150.9,45.99432
2013,10,18,12,150.88,45.988224
2013,10,18,13,150.87,45.985176
2013,10,18,14,150.86,45.982128
2013,10,18,15,150.84,45.976032
2013,10,18,16,150.83,45.972984
2013,10,18,17,150.82,45.969936
2013,10,18,18,150.8,45.96384
2013,10,18,19,150.79,45.960792
2013,10,18,20,150.78,45.957744
2013,10,18,21,150.77,45.954696
2013,10,18,22,150.75,45.9486
2013,10,18,23,150.73,45.942504
2013,10,19,0,150.72,45.939456
2013,10,19,1,150.7,45.93336
2013,10,19,2,150.69,45.930312
2013,10,19,3,150.66,45.921168
2013,10,19,4,150.65,45.91812
2013,10,19,5,150.63,45.912024
2013,10,19,6,150.62,45.908976
2013,10,19,7,150.61,45.905928
2013,10,19,8,150.6,45.90288
2013,10,19,9,150.58,45.896784
2013,10,19,10,150.58,45.896784
2013,10,19,11,150.57,45.893736
2013,10,19,12,150.57,45.893736
2013,10,19,13,150.56,45.890688
2013,10,19,14,150.56,45.890688
2013,10,19,15,150.56,45.890688
2013,10,19,16,150.55,45.88764
2013,10,19,17,150.55,45.88764
2013,10,19,18,150.55,45.88764
2013,10,19,19,150.55,45.88764
2013,10,19,20,150.54,45.884592
2013,10,19,21,150.54,45.884592
2013,10,19,22,150.54,45.884592
2013,10,19,23,150.54,45.884592
2013,10,20,0,150.54,45.884592
2013,10,20,1,150.54,45.884592
2013,10,20,2,150.54,45.884592
2013,10,20,3,150.53,45.881544
2013,10,20,4,150.53,45.881544
2013,10,20,5,150.52,45.878496
2013,10,20,6,150.52,45.878496
2013,10,20,7,150.51,45.875448
2013,10,20,8,150.51,45.875448
2013,10,20,9,150.5,45.8724
2013,10,20,10,150.5,45.8724
2013,10,20,11,150.49,45.869352
2013,10,20,12,150.48,45.866304
2013,10,20,13,150.46,45.860208
2013,10,20,14,150.46,45.860208
2013,10,20,15,150.45,45.85716
2013,10,20,16,150.44,45.854112
2013,10,20,17,150.43,45.851064
2013,10,20,18,150.42,45.848016
2013,10,20,19,150.41,45.844968
2013,10,20,20,150.4,45.84192
2013,10,20,21,150.39,45.838872
2013,10,20,22,150.38,45.835824
2013,10,20,23,150.38,45.835824
2013,10,21,0,150.37,45.832776
2013,10,21,1,150.36,45.829728
2013,10,21,2,150.34,45.823632
2013,10,21,3,150.33,45.820584
2013,10,21,4,150.31,45.814488
2013,10,21,5,150.29,45.808392
2013,10,21,6,150.27,45.802296
2013,10,21,7,150.25,45.7962
2013,10,21,8,150.23,45.790104
2013,10,21,9,150.21,45.784008
2013,10,21,10,150.21,45.784008
2013,10,21,11,150.19,45.777912
2013,10,21,12,150.18,45.774864
2013,10,21,13,150.18,45.774864
2013,10,21,14,150.17,45.771816
2013,10,21,15,150.17,45.771816
2013,10,21,16,150.16,45.768768
2013,10,21,17,150.16,45.768768
2013,10,21,18,150.15,45.76572
2013,10,21,19,150.14,45.762672
2013,10,21,20,150.13,45.759624
2013,10,21,21,150.12,45.756576
2013,10,21,22,150.12,45.756576
2013,10,21,23,150.12,45.756576
2013,10,22,0,150.11,45.753528
2013,10,22,1,150.11,45.753528
2013,10,22,2,150.1,45.75048
2013,10,22,3,150.09,45.747432
2013,10,22,4,150.08,45.744384
2013,10,22,5,150.06,45.738288
2013,10,22,6,150.05,45.73524
2013,10,22,7,150.03,45.729144
2013,10,22,8,150.02,45.726096
2013,10,22,9,150,45.72
2013,10,22,10,149.99,45.716952
2013,10,22,11,149.98,45.713904
2013,10,22,12,149.97,45.710856
2013,10,22,13,149.96,45.707808
2013,10,22,14,149.96,45.707808
2013,10,22,15,149.95,45.70476
2013,10,22,16,149.95,45.70476
2013,10,22,17,149.94,45.701712
2013,10,22,18,149.93,45.698664
2013,10,22,19,149.93,45.698664
2013,10,22,20,149.92,45.695616
2013,10,22,21,149.92,45.695616
2013,10,22,22,149.91,45.692568
2013,10,22,23,149.91,45.692568
2013,10,23,0,149.9,45.68952
2013,10,23,1,149.89,45.686472
2013,10,23,2,149.88,45.683424
2013,10,23,3,149.87,45.680376
2013,10,23,4,149.87,45.680376
2013,10,23,5,149.86,45.677328
2013,10,23,6,149.85,45.67428
2013,10,23,7,149.84,45.671232
2013,10,23,8,149.83,45.668184
2013,10,23,9,149.82,45.665136
2013,10,23,10,149.81,45.662088
2013,10,23,11,149.81,45.662088
2013,10,23,12,149.8,45.65904
2013,10,23,13,149.8,45.65904
2013,10,23,14,149.8,45.65904
2013,10,23,15,149.8,45.65904
2013,10,23,16,149.8,45.65904
2013,10,23,17,149.79,45.655992
2013,10,23,18,149.79,45.655992
2013,10,23,19,149.79,45.655992
2013,10,23,20,149.8,45.65904
2013,10,23,21,149.8,45.65904
2013,10,23,22,149.8,45.65904
2013,10,23,23,149.8,45.65904
2013,10,24,0,149.8,45.65904
2013,10,24,1,149.8,45.65904
2013,10,24,2,149.8,45.65904
2013,10,24,3,149.8,45.65904
2013,10,24,4,149.8,45.65904
2013,10,24,5,149.8,45.65904
2013,10,24,6,149.8,45.65904
2013,10,24,7,149.8,45.65904
2013,10,24,8,149.79,45.655992
2013,10,24,9,149.8,45.65904
2013,10,24,10,149.8,45.65904
2013,10,24,11,149.8,45.65904
2013,10,24,12,149.8,45.65904
2013,10,24,13,149.79,45.655992
2013,10,24,14,149.79,45.655992
2013,10,24,15,149.79,45.655992
2013,10,24,16,149.79,45.655992
2013,10,24,17,149.79,45.655992
2013,10,24,18,149.79,45.655992
2013,10,24,19,149.79,45.655992
2013,10,24,20,149.79,45.655992
2013,10,24,21,149.79,45.655992
2013,10,24,22,149.79,45.655992
2013,10,24,23,149.8,45.65904
2013,10,25,0,149.8,45.65904
2013,10,25,1,149.8,45.65904
